CustomerID;Count;Country;State;City;Zip Code;Lat Long;Latitude;Longitude;Gender;Senior Citizen;Partner;Dependents;Tenure Months;Phone Service;Multiple Lines;Internet Service;Online Security;Online Backup;Device Protection;Tech Support;Streaming TV;Streaming Movies;Contract;Paperless Billing;Payment Method;Monthly Charges;Total Charges;Churn Label;Churn Value;Churn Score;CLTV;Churn Reason;Churn Reason Category;Churn Reason Category 2
7273-TEFQD;1;United States;California;La Puente;91746;34.038983, -117.991372;34038983;-117991372;Male;Yes;No;No;3;No;No phone service;DSL;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;4115;1322;Yes;1;96;2314;Long distance charges;Pricing;Pricing
3606-TWKGI;1;United States;California;Rowland Heights;91748;33.976753, -117.897367;33976753;-117897367;Male;Yes;No;No;13;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;1069;13643;Yes;1;84;2494;Extra data charges;Pricing;Pricing
6323-AYBRX;1;United States;California;Ontario;91762;34.057256, -117.667677;34057256;-117667677;Male;No;No;No;59;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;1935;10996;Yes;1;83;5084;Price too high;Pricing;Pricing
4385-GZQXV;1;United States;California;Ontario;91764;34.074087, -117.605618;34074087;-117605618;Female;Yes;No;No;16;Yes;No;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;9445;15112;Yes;1;81;3810;Product dissatisfaction;User Experience on service / product;User Experience on service / product
6366-ZGQGL;1;United States;California;Pomona;91766;34.042286, -117.756106;34042286;-117756106;Male;No;No;No;1;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);248;248;Yes;1;73;5087;Service dissatisfaction;User Experience on service / product;User Experience on service / product
5940-AHUHD;1;United States;California;Pomona;91768;34.067932, -117.785168;34067932;-117785168;Male;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Mailed check;706;706;Yes;1;69;3338;Lack of self-service on Website;Customer Support;Customer Support
6432-TWQLB;1;United States;California;Rosemead;91770;34.065108, -118.082791;34065108;-118082791;Male;No;Yes;No;5;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;Month-to-month;Yes;Electronic check;854;4011;Yes;1;80;3676;Network reliability;User Experience on service / product;User Experience on service / product
4484-GLZOU;1;United States;California;San Dimas;91773;34.102119, -117.815532;34102119;-117815532;Female;No;Yes;No;52;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;10505;562485;Yes;1;65;4839;Don't know;Don't know;Don't know
9512-UIBFX;1;United States;California;West Covina;91791;34.061634, -117.893169;34061634;-117893169;Male;No;Yes;No;18;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;No;Mailed check;9515;177995;Yes;1;68;4643;Don't know;Don't know;Don't know
5583-SXDAG;1;United States;California;Alhambra;91803;34.074736, -118.145959;34074736;-118145959;Male;No;Yes;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;700;700;Yes;1;97;4094;Don't know;Don't know;Don't know
3488-PGMQJ;1;United States;California;Alpine;91901;32.827184, -116.703729;32827184;-116703729;Male;Yes;No;No;8;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;745;60655;Yes;1;80;4345;Poor expertise of online support;Customer Support;Customer Support
3580-REOAC;1;United States;California;Bonita;91902;32.67117, -117.00232;3267117;-11700232;Male;No;No;No;10;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);4485;4354;Yes;1;83;4061;Poor expertise of phone support;Customer Support;Customer Support
7534-BFESC;1;United States;California;Boulevard;91905;32.677097, -116.304991;32677097;-116304991;Male;Yes;No;No;24;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;761;17127;Yes;1;98;2018;Price too high;Pricing;Pricing
6390-DSAZX;1;United States;California;Guatay;91931;32.857946, -116.561917;32857946;-116561917;Female;No;No;No;1;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check;736;736;Yes;1;80;2565;Product dissatisfaction;User Experience on service / product;User Experience on service / product
8098-LLAZX;1;United States;California;Jacumba;91934;32.649787, -116.2237;32649787;-1162237;Female;Yes;No;No;4;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;9545;3961;Yes;1;85;3677;Service dissatisfaction;User Experience on service / product;User Experience on service / product
0265-EDXBD;1;United States;California;Mount Laguna;91948;32.830852, -116.444601;32830852;-116444601;Male;Yes;Yes;No;32;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;749;230335;Yes;1;69;4105;Lack of self-service on Website;Customer Support;Customer Support
7563-BIUPC;1;United States;California;Borrego Springs;92004;33.200369, -116.192313;33200369;-116192313;Male;No;No;No;5;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;806;41555;Yes;1;69;5715;Network reliability;User Experience on service / product;User Experience on service / product
2321-OMBXY;1;United States;California;Carlsbad;92009;33.098018, -117.258203;33098018;-117258203;Female;No;Yes;No;38;Yes;No;DSL;Yes;Yes;No;Yes;Yes;Yes;One year;No;Credit card (automatic);803;305865;Yes;1;81;2071;Limited range of services;Customer Support;Customer Support
2840-XANRC;1;United States;California;Del Mar;92014;32.948262, -117.256086;32948262;-117256086;Male;Yes;Yes;No;24;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;9315;223105;Yes;1;73;2212;Lack of affordable download/upload speed;Pricing;Pricing
5020-ZSTTY;1;United States;California;El Cajon;92020;32.79697, -116.969082;3279697;-116969082;Female;Yes;No;No;54;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;Yes;One year;No;Bank transfer (automatic);8245;43501;Yes;1;83;4149;Long distance charges;Pricing;Pricing
5804-LEPIM;1;United States;California;Escondido;92029;33.079834, -117.134275;33079834;-117134275;Female;Yes;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;7035;13905;Yes;1;73;2671;Extra data charges;Pricing;Pricing
0122-OAHPZ;1;United States;California;Oceanside;92057;33.254497, -117.285879;33254497;-117285879;Female;No;No;No;7;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;7385;51125;Yes;1;67;2473;Price too high;Pricing;Pricing
2868-SNELZ;1;United States;California;Pala;92059;33.384345, -117.072619;33384345;-117072619;Female;No;No;No;2;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;No;Mailed check;806;1558;Yes;1;92;2683;Product dissatisfaction;User Experience on service / product;User Experience on service / product
4322-RCYMT;1;United States;California;Palomar Mountain;92060;33.309852, -116.823091;33309852;-116823091;Male;No;Yes;No;68;Yes;Yes;DSL;No;Yes;Yes;Yes;No;Yes;One year;Yes;Bank transfer (automatic);758;529395;Yes;1;81;4903;Service dissatisfaction;User Experience on service / product;User Experience on service / product
6680-NENYN;1;United States;California;Pauma Valley;92061;33.313828, -116.940501;33313828;-116940501;Female;No;No;No;43;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Electronic check;1046;475985;Yes;1;91;5250;Lack of self-service on Website;Customer Support;Customer Support
1343-EHPYB;1;United States;California;Ranchita;92066;33.215251, -116.53633;33215251;-11653633;Male;No;Yes;No;63;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;1034;66030;Yes;1;98;4352;Network reliability;User Experience on service / product;User Experience on service / product
2034-GDRCN;1;United States;California;Valley Center;92082;33.25283, -116.986079;3325283;-116986079;Female;No;No;No;2;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;904;1682;Yes;1;76;4157;Don't know;Don't know;Don't know
0219-YTZUE;1;United States;California;San Diego;92103;32.747484, -117.166877;32747484;-117166877;Male;No;Yes;No;4;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);848;3719;Yes;1;73;4939;Don't know;Don't know;Don't know
0623-IIHUG;1;United States;California;San Diego;92104;32.741499, -117.127409;32741499;-117127409;Female;Yes;No;No;21;No;No phone service;DSL;Yes;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;419;8401;Yes;1;97;4778;Don't know;Don't know;Don't know
4572-DVCGN;1;United States;California;San Diego;92105;32.741859, -117.090353;32741859;-117090353;Female;No;No;No;10;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);8025;8460;Yes;1;85;3598;Poor expertise of online support;Customer Support;Customer Support
9057-MSWCO;1;United States;California;San Diego;92108;32.774046, -117.142454;32774046;-117142454;Male;Yes;Yes;No;27;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;No;Credit card (automatic);3075;8051;Yes;1;91;2927;Poor expertise of phone support;Customer Support;Customer Support
1010-DIAUQ;1;United States;California;San Diego;92116;32.765299, -117.122565;32765299;-117122565;Male;No;No;No;5;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;No;Bank transfer (automatic);965;49255;Yes;1;98;5383;Price too high;Pricing;Pricing
